"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jun 15 21:06:58 IST 2022","Wed Jun 15 21:07:00 IST 2022","1536","trcrm app regression suite","regression test","com.qa.trcrm.tests.LoginPageTest","com.qa.trcrm.tests.LoginPageTest","verifyLoginPageTitleTest","verifyLoginPageTitleTest","verify login page title"
"passed","Wed Jun 15 21:07:00 IST 2022","Wed Jun 15 21:07:00 IST 2022","203","trcrm app regression suite","regression test","com.qa.trcrm.tests.HomePageTest","com.qa.trcrm.tests.HomePageTest","verifyHomePageTitle","verifyHomePageTitle",""
"passed","Wed Jun 15 21:07:01 IST 2022","Wed Jun 15 21:07:32 IST 2022","30638","trcrm app regression suite","regression test","com.qa.trcrm.tests.LoginPageTest","com.qa.trcrm.tests.LoginPageTest","loginTest","loginTest","verify login test"
"passed","Wed Jun 15 21:07:01 IST 2022","Wed Jun 15 21:07:01 IST 2022","728","trcrm app regression suite","regression test","com.qa.trcrm.tests.HomePageTest","com.qa.trcrm.tests.HomePageTest","verifyHomePageHeaderTest","verifyHomePageHeaderTest",""
"passed","Wed Jun 15 21:07:32 IST 2022","Wed Jun 15 21:07:33 IST 2022","669","trcrm app regression suite","regression test","com.qa.trcrm.tests.HomePageTest","com.qa.trcrm.tests.HomePageTest","verifyLoggedInUserTest","verifyLoggedInUserTest",""
"passed","Wed Jun 15 21:07:00 IST 2022","Wed Jun 15 21:07:01 IST 2022","457","trcrm app regression suite","regression test","com.qa.trcrm.tests.LoginPageTest","com.qa.trcrm.tests.LoginPageTest","verifySignUpLinkTest","verifySignUpLinkTest","verify sign up link test"
"unknown","Wed Jun 15 21:05:02 IST 2022","Wed Jun 15 21:05:02 IST 2022","12","trcrm app regression suite","regression test","com.qa.trcrm.tests.LoginPageTest","com.qa.trcrm.tests.LoginPageTest","login_InvalidTestCases","login_InvalidTestCases",""
